"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
1.9888295,18.67528275,37.8763091314698,0.000233019218372227,0.0426002473744359,1.98320763407198,"LIMD1"
-3.4702725,11.36872625,-37.6722266040955,0.000236023516552492,0.0426633579696893,1.97071165107125,"TBC1D32"
2.8041025,2.80067075,36.7733551017803,0.000249932556627014,0.0443749964396335,1.91434559256379,"FLI1"
-4.326586,4.5684865,-36.6416122621574,0.00025206839172921,0.0443749964396335,1.90589820665284,"ABCG4"
4.93734,13.860311,36.2592071309408,0.000258416885209873,0.0449015433122131,1.88110157703725,"SLC12A2"
-1.248009,5.609674,-35.1749896373536,0.000277701291991854,0.0452520974287299,1.80848966820474,"IFIT1"
-1.0227985,1.10899975,-35.0120897371751,0.000280774072629021,0.0452520974287299,1.79727592880723,"TGFB2"
4.46179,3.876401,34.0261695031382,0.000300443887037679,0.0461842862437381,1.72763699397391,"RBFOX3"
-3.2409915,5.42939725,-33.9072243282029,0.000302948179760523,0.0461842862437381,1.71902497034056,"HPCAL4"
-2.653743,1.5085845,-33.0642839943198,0.000321575647089597,0.0468366832757474,1.65664351936362,"NPR2"
-1.3656675,0.88622125,-32.9268014207023,0.000324767224523762,0.0468411626567645,1.64623980163097,"SLC35F3"
-2.56447,1.673131,-32.7553117680377,0.000328811682626881,0.0468788205266281,1.63317039258762,"C1orf167"
-2.1562265,1.27057475,-32.5203319771636,0.000334470634158369,0.0470233193648346,1.61509415341203,"COL21A1"
4.5214385,27.61140525,32.3483272678345,0.000338701059760557,0.0472896755507067,1.60173766180553,"LDLRAP1"
-1.419499,1.1268005,-32.069443230732,0.000345723334380507,0.0476133939083902,1.57985458443581,"NIM1K"
-2.580341,1.7509405,-31.3930741605579,0.000363636853961177,0.0477933775892167,1.52558728402115,"INPP4B"
-1.6108235,1.01377425,-31.1752401143996,0.000369686918228139,0.0477933775892167,1.50774061234562,"FAM133A"
-3.907563,4.5049225,-31.107478048849,0.000371598078376105,0.0477933775892167,1.50215159527627,"CRYM"
-1.335542,0.7607315,-30.5320590568685,0.000388407773902793,0.0477933775892167,1.45396228301588,"CT45A7"
4.942003,5.629769,30.5156830521327,0.000388901848474103,0.0477933775892167,1.45257149880596,"NANOS1"
-3.4980135,1.74900675,-30.3741905599183,0.000393208188370257,0.0477933775892167,1.44050949439407,"CD164L2"
-1.818013,11.860637,-29.977554984266,0.000405647072620931,0.0477933775892167,1.40625884679891,"BBS10"
-1.147934,8.539528,-29.363287757243,0.00042604109656165,0.0488050901152533,1.35190816212692,"PTPDC1"
2.4760355,2.92482075,29.2170523774036,0.000431110313563919,0.0488050901152533,1.33872913287838,"DRD4"
-3.7115845,10.20214925,-29.1643259469989,0.000432959082922427,0.0488050901152533,1.33395426863894,"CACNG8"
-1.8694155,0.93470775,-28.791594650616,0.000446355277710787,0.0488050901152533,1.29984709971835,"C6orf132"
4.8361115,7.87058475,28.65235838061,0.000451510716855253,0.0488050901152533,1.28694548614234,"INPP5F"
-1.195371,0.816147,-28.6129559572936,0.000452985001992714,0.0488050901152533,1.28327840299464,"MEOX1"
-2.2072885,2.66775675,-28.4654602718379,0.000458564832559655,0.0488529040246904,1.26948799435904,"MRAP2"
3.7157055,15.57221625,28.3419596640128,0.000463312302926182,0.0488529040246904,1.25786358721255,"RAB40B"
-1.187772,0.684022,-27.6358130759101,0.00049184526206315,0.0490840881518693,1.19001140864945,"CT45A6"
-0.7777125,0.38885625,-27.1533533970351,0.000512795052571422,0.0490840881518693,1.14225387973338,"FGF20"
3.319152,7.9571115,27.07931632085,0.000516121648754908,0.0490840881518693,1.13482163170877,"GSPT2"
-1.258428,1.5503555,-27.0542028174089,0.000517256997458178,0.0490840881518693,1.13229425991778,"AMDHD1"
3.6071065,5.05641875,26.6447319995031,0.000536280018876408,0.0490840881518693,1.09062733208721,"PGBD5"
1.7902625,2.53328575,26.5114670672631,0.000542685534305135,0.0490840881518693,1.07687761929952,"ADGRB1"
